tomzcode,country,year,type,firms,sector,region,mass,settlement,legal
405,ANTGUA AND BARBUDA,2002,NAT,1,TOURISM,LA,S,,0
430,BOLIVIA,2001,CONT,1,UTIL,LA,S,,0
430,BOLIVIA,2005,CONT,1,UTIL,LA,S,,0
430,BOLIVIA,2006,CONT,2,PET,LA,S,,0
547,"CONGO, DEM. REP",1997,NAT,1,TRANS,AFR,S,,0
547,"CONGO, DEM. REP",1998,CONT,1,MIN,AFR,S,2001/ICSID,0
418,COSTA RICA,1995,CONT,1,COM,LA,S,,1
529,COTE D'IVOIRE,2003,INT,1,COM,AFR,S,,0
396,DOMINICAN REPUBLIC,1994,NAT,1,COM,LA,S,,0
427,ECUADOR,2006,NAT,2,PET,LA,S,,0
596,EGYPT,1989,NAT,1,TOURISM,AFR,S,ICSID,0
596,EGYPT,1989,NAT,1,MFG,AFR,S,2002/ICSID,0
596,EGYPT,1995,CONT,1,TRAD,AFR,S,Local (2002),0
467,HUNGARY,2001,NAT,1,TRANS,CEE,S,2006/ICSID,0
633,INDIA,2001,CONT,1,UTIL,ASIA,S,2005/Local,0
662,INDONESIA,1998,NAT,1,UTIL,ASIA,S,1999/UNCITRAL,0
620,KAZAKHSTAN,1992,CONT,1,PET,ASIA,S,1999/Stockholm Arbitral Court,0
620,KAZAKHSTAN,1999,NAT,1,UTIL,ASIA,S,,0
574,LESOTHO,1992,NAT,1,MIN,AFR,S,,0
411,MEXICO,1995,CONT,1,SVC,LA,S,2001/ICSID,0
411,MEXICO,1998,CONT,1,SVC,LA,S,2003/ICSID,0
641,MYANMAR,2006,NAT,2,BANK,ASIA,S ,,1
573,NAMIBIA,2004,SALE,,AGR,AFR,S,2004/Local,0
573,NAMIBIA,2005,SALE,,AGR,AFR,S,2005/Local,0
811,RUSSIA,2006,SALE,1,PET,CEE,S,,0
642,SRI LANKA,1990,CONT,1,MFG,ASIA,S,2005/Local,0
383,UNITED STATES,2003,CONT,1,MIN,NA,S,,1
619,UZBEKISTAN,2006,CONT,1,MIN,ASIA,S,,1
423,VENEZUELA,2002,NAT,1,MIN,LA,S,,0
423,VENEZUELA,2002,NAT,1,SVC,LA,S,,0
423,VENEZUELA,2002,CONT,1,SVC,LA,S,2004/OPIC,0
423,VENEZUELA,2005,NAT,2,AGR,LA,S,,0
423,VENEZUELA,2005,NAT,2,MFG,LA,S,,0
423,VENEZUELA,2005,SALE,1,MFG,LA,S,2005/Local,0
423,VENEZUELA,2005,CONT,1,MIN,LA,S,,0
423,VENEZUELA,2006,NAT,1,MFG,LA,S,,0
423,VENEZUELA,2006,CONT,3,PET,LA,S,,0
607,YEMEN,2005,CONT,1,PET,MID,S,,0
565,ZIMBABWE,2004,NAT,,AGR,AFR,S,,0
